Time,Open,High,Low,Last,Change,%Chg,Volume
11/2/2022,383.9,388.63,374.76,374.87,-9.65,-2.51%,126990300
11/1/2022,390.14,390.39,383.29,384.52,-1.69,-0.44%,85407600
10/31/2022,386.44,388.4,385.26,386.21,-2.81,-0.72%,96631200
10/28/2022,379.87,389.52,379.68,389.02,9.04,2.38%,100301900
10/27/2022,383.07,385,379.33,379.98,-2.04,-0.53%,81971700
10/26/2022,381.62,387.58,381.35,382.02,-2.9,-0.75%,104087300
10/25/2022,378.79,385.25,378.671,384.92,6.05,1.60%,78846300
10/24/2022,375.89,380.06,373.11,378.87,4.58,1.22%,85436900
10/21/2022,365.12,374.8,363.54,374.29,8.88,2.43%,131038300
10/20/2022,368.03,372.67,364.61,365.41,-3.09,-0.84%,88283000
10/19/2022,368.99,371.85,365.55,368.5,-2.63,-0.71%,79746800
10/18/2022,375.13,375.45,367.52,371.13,4.31,1.17%,97162800
10/17/2022,364.01,367.9799,357.2808,366.82,9.19,2.57%,93168200
10/14/2022,368.55,370.26,356.96,357.63,-8.34,-2.28%,123737000
10/13/2022,349.2,367.51,348.11,365.97,9.41,2.64%,147254500
10/12/2022,358.17,359.8179,356.3,356.56,-1.18,-0.33%,76991800
10/11/2022,358.23,363.03,355.71,357.74,-2.28,-0.63%,92482700
10/10/2022,363.96,364.21,357.67,360.02,-2.77,-0.76%,76042700
10/7/2022,368.97,373.2933,360.94,362.79,-10.41,-2.79%,107789500
10/6/2022,375.62,378.72,372.68,373.2,-3.89,-1.03%,82333500
10/5/2022,373.39,379.46,370.95,377.09,-0.88,-0.23%,88065600
10/4/2022,372.4,378,366.5677,377.97,11.36,3.10%,103602700
10/3/2022,361.08,368.55,359.21,366.61,9.43,2.64%,89756400
9/30/2022,361.8,365.91,357.04,357.18,-5.61,-1.55%,153711200
9/29/2022,366.81,367.11,359.7,362.79,-7.74,-2.09%,112952300
9/28/2022,364.38,372.3,362.6,370.53,7.15,1.97%,110802200
9/27/2022,368.02,370.4,360.87,363.38,-0.93,-0.26%,108294000
9/26/2022,366.41,370.21,363.0299,364.31,-3.64,-0.99%,92581200
9/23/2022,370.58,370.62,363.29,367.95,-6.27,-1.68%,122346900
9/22/2022,376.58,378.3,373.44,374.22,-3.17,-0.84%,89472600
9/21/2022,386.11,389.31,377.38,377.39,-6.7,-1.74%,106746500
9/20/2022,385.06,386.12,381.195,384.09,-4.46,-1.15%,77274800
9/19/2022,382.26,388.55,382.1784,388.55,2.99,0.78%,73278400
9/16/2022,384.14,386.25,382.11,385.56,-4.56,-1.17%,103084800
9/15/2022,392.96,395.96,388.78,390.12,-4.48,-1.14%,87633800
9/14/2022,394.47,396.2,391.12,394.6,1.5,0.38%,85023700
9/13/2022,401.83,403.1,391.92,393.1,-17.87,-4.35%,122947000
9/12/2022,408.78,411.73,408.46,410.97,4.37,1.07%,69256200
9/9/2022,402.74,407.51,402.46,406.6,6.22,1.55%,76706900
9/8/2022,395.39,400.86,394.12,400.38,2.6,0.65%,80821600
9/7/2022,390.43,398.59,390.2,397.78,7.02,1.80%,70964200
9/6/2022,393.13,394.12,388.42,390.76,-1.48,-0.38%,76637400
9/2/2022,400.28,401.555,390.33,392.24,-4.18,-1.05%,99632100
9/1/2022,392.89,396.78,390.04,396.42,1.24,0.31%,78740000
8/31/2022,399.93,401.24,395.04,395.18,-3.03,-0.76%,76029600
8/30/2022,403.85,404.1,396,398.21,-4.42,-1.10%,85652400
8/29/2022,402.2,405.84,401.1999,402.63,-2.68,-0.66%,65370800
8/26/2022,419.39,419.96,405.25,405.31,-14.2,-3.38%,103086900
8/25/2022,415.24,419.56,414.09,419.51,5.84,1.41%,50942200
8/24/2022,412.11,415.1101,411.39,413.67,1.32,0.32%,49177800
8/23/2022,412.9,415.42,411.77,412.35,-1,-0.24%,49105200
8/22/2022,417.05,417.23,412.4,413.35,-8.79,-2.08%,77695600
8/19/2022,424.98,425.26,421.22,422.14,-5.75,-1.34%,68016900
8/18/2022,426.86,428.61,425.5,427.89,1.24,0.29%,49023200
8/17/2022,425.91,429.5,424.54,426.65,-3.05,-0.71%,63563300
8/16/2022,427.73,431.73,426.88,429.7,0.84,0.20%,59289000
8/15/2022,424.77,429.41,424.71,428.86,1.76,0.41%,54048200
8/12/2022,422.03,427.21,421.03,427.1,7.11,1.69%,61694500
8/11/2022,422.99,424.95,419.21,419.99,0,0.00%,59489700
8/10/2022,418.78,420.14,416.72,419.99,8.64,2.10%,68665700
8/9/2022,412.22,412.75,410.22,411.35,-1.64,-0.40%,44931700
8/8/2022,415.25,417.62,411.83,412.99,-0.48,-0.12%,54025900
8/5/2022,409.66,414.15,409.6,413.47,-0.7,-0.17%,56814900
8/4/2022,414.37,415.09,412.44,414.17,-0.28,-0.07%,45656500
8/3/2022,410.3,415.68,410,414.45,6.39,1.57%,67820500
8/2/2022,409.12,413,406.82,408.06,-2.71,-0.66%,63435400
8/1/2022,409.15,413.41,408.4,410.77,-1.22,-0.30%,69997400
7/29/2022,407.58,413.03,406.77,411.99,5.92,1.46%,87003600
7/28/2022,401.89,406.8,398.15,406.07,5.03,1.25%,73966500
7/27/2022,394.36,402.88,394.05,401.04,10.15,2.60%,82342100
7/26/2022,393.84,394.06,389.95,390.89,-4.68,-1.18%,52946300
7/25/2022,395.75,396.47,393.21,395.57,0.48,0.12%,53631400
7/22/2022,398.92,400.18,392.75,395.09,-3.7,-0.93%,72197300
7/21/2022,394.16,398.84,391.63,398.79,4.02,1.02%,64903800
7/20/2022,392.47,396.26,391.03,394.77,2.5,0.64%,71843700
7/19/2022,386.08,392.87,385.39,392.27,10.32,2.70%,78505900
7/18/2022,388.38,389.09,380.66,381.95,-3.18,-0.83%,63203600
7/15/2022,382.55,385.25,380.54,385.13,7.22,1.91%,79060300
7/14/2022,373.61,379.0498,371.04,377.91,-0.92,-0.24%,89704800
7/13/2022,375.1,381.92,374.658,378.83,-2,-0.53%,84224600
7/12/2022,383.65,386.16,378.99,380.83,-3.4,-0.88%,62219100
7/11/2022,385.85,386.87,383.5,384.23,-4.44,-1.14%,58366900
7/8/2022,387.27,390.64,385.66,388.67,-0.32,-0.08%,72397700
7/7/2022,385.12,389.83,383.267,388.99,5.74,1.50%,64525900
7/6/2022,382.11,385.87,379.6,383.25,1.29,0.34%,70426200
7/5/2022,375.88,381.98,372.9,381.96,0.72,0.19%,81437900
7/1/2022,376.56,381.7,373.8,381.24,3.99,1.06%,74839700
6/30/2022,376.24,380.6582,372.56,377.25,-3.09,-0.81%,112508200
6/29/2022,381.23,382.27,378.42,380.34,-0.31,-0.08%,65676000
6/28/2022,390.23,393.16,380.53,380.65,-7.94,-2.04%,86689800
6/27/2022,391.05,391.36,387.44,388.59,-1.49,-0.38%,66009600
6/24/2022,381.4,390.09,381.365,390.08,12.02,3.18%,98050300
6/23/2022,376.64,378.83,372.89,378.06,3.67,0.98%,79292100
6/22/2022,370.62,378.72,370.18,374.39,-0.68,-0.18%,90059400
6/21/2022,371.89,376.525,371.81,375.07,9.21,2.52%,76811800
6/17/2022,365.51,369.38,362.17,365.86,-0.79,-0.22%,111113900
6/16/2022,370.51,370.94,364.0799,366.65,-12.55,-3.31%,134473200
6/15/2022,377.36,383.9,372.12,379.2,5.33,1.43%,125666800
6/14/2022,376.85,377.94,370.59,373.87,-1.13,-0.30%,104011800
6/13/2022,379.85,381.81,373.3,375,-14.8,-3.80%,170004800
6/10/2022,394.88,395.7777,389.75,389.8,-11.64,-2.90%,132893800
6/9/2022,409.34,411.74,401.44,401.44,-9.78,-2.38%,86289700
6/8/2022,413.93,415.82,410.38,411.22,-4.52,-1.09%,64349900
6/7/2022,408.1,416.22,407.61,415.74,3.95,0.96%,59272300
6/6/2022,414.78,416.609,410.5523,411.79,1.25,0.30%,57508800
6/3/2022,412.4,414.04,409.51,410.54,-6.85,-1.64%,71874200
6/2/2022,409.42,417.44,407.04,417.39,7.8,1.90%,79609600
6/1/2022,415.17,416.24,406.93,409.59,-3.34,-0.81%,86585800
5/31/2022,413.55,416.46,410.03,412.93,-2.33,-0.56%,95936900
