"id","attachment","total_limit","total_premium","layer_number","price_per_million","rate_relativity","industry_vertical","region","sic_code"
77,5e+07,25000000,77543,3,3101.72,0.578679104477612,"Retail & Distribution","NE","5961"
77,7.5e+07,25000000,48177,4,1927.08,0.621293991720723,"Retail & Distribution","NE","5961"
78,0,10000000,5e+05,0,50000,NA,"REHL: Eating & Drinking Places","SE","5812"
78,1e+07,15000000,250000,1,16666.6666666667,0.333333333333333,"REHL: Eating & Drinking Places","SE","5812"
78,2.5e+07,25000000,220000,2,8800,0.528,"REHL: Eating & Drinking Places","SE","5812"
78,5e+07,25000000,120000,3,4800,0.545454545454545,"REHL: Eating & Drinking Places","SE","5812"
78,7.5e+07,25000000,78000,4,3120,0.65,"REHL: Eating & Drinking Places","SE","5812"
78,1e+08,25000000,72500,5,2900,0.92948717948718,"REHL: Eating & Drinking Places","SE","5812"
78,1.25e+08,25000000,68000,6,2720,0.937931034482759,"REHL: Eating & Drinking Places","SE","5812"
79,0,10000000,1660000,0,166000,NA,"M&A/General Industries","NE","5199"
79,1e+07,10000000,744154,1,74415.4,0.448285542168675,"M&A/General Industries","NE","5199"
79,2.5e+07,15000000,615000,2,41000,0.550961225767785,"M&A/General Industries","NE","5199"
79,3.5e+07,10000000,251000,3,25100,0.61219512195122,"M&A/General Industries","NE","5199"
79,4.5e+07,50000000,666530,4,13330.6,0.531099601593625,"M&A/General Industries","NE","5199"
80,0,10000000,1175000,0,117500,NA,"REHL: Eating & Drinking Places","SE","5812"
80,1e+07,15000000,6e+05,1,40000,0.340425531914894,"REHL: Eating & Drinking Places","SE","5812"
80,2.5e+07,15000000,266888,2,17792.5333333333,0.444813333333333,"REHL: Eating & Drinking Places","SE","5812"
80,4e+07,10000000,121000,3,12100,0.680060549743713,"REHL: Eating & Drinking Places","SE","5812"
80,5e+07,25000000,196870,4,7874.8,0.650809917355372,"REHL: Eating & Drinking Places","SE","5812"
80,7.5e+07,25000000,135000,5,5400,0.685731701122568,"REHL: Eating & Drinking Places","SE","5812"
81,0,10000000,166831,0,16683.1,NA,"Tech Media Telecom","NE","7373"
81,1e+07,15000000,79208,1,5280.53333333333,0.316519911367392,"Tech Media Telecom","NE","7373"
81,2.5e+07,15000000,29884,2,1992.26666666667,0.377285122714877,"Tech Media Telecom","NE","7373"
81,4e+07,15000000,37351,3,2490.06666666667,1.24986614910989,"Tech Media Telecom","NE","7373"
81,5.5e+07,10000000,30000,4,3000,1.20478702042783,"Tech Media Telecom","NE","7373"
81,6.5e+07,10000000,27000,5,2700,0.9,"Tech Media Telecom","NE","7373"
82,0,10000000,345500,0,34550,NA,"Retail & Distribution","NE","5947"
82,1e+07,15000000,232000,1,15466.6666666667,0.447660395561987,"Retail & Distribution","NE","5947"
82,2.5e+07,15000000,85000,2,5666.66666666667,0.366379310344828,"Retail & Distribution","NE","5947"
82,4e+07,10000000,35000,3,3500,0.617647058823529,"Retail & Distribution","NE","5947"
84,0,5000000,1997443,0,399488.6,NA,"REHL: Real Estate","NE","7521"
84,5e+06,10000000,885000,1,88500,0.221533230234855,"REHL: Real Estate","NE","7521"
84,1.5e+07,10000000,445000,2,44500,0.502824858757062,"REHL: Real Estate","NE","7521"
