client_id,carrier_number,layer_number,limit,attachment,share,rate_rel,lead_ratio,per_mil,premium,layers_in_tower,entries_in_tower,sic_industry,carrier_name,is_train1,is_train2,is_train3
90,1,0,10000000.0,0,1,,1.0,35800.1,358001.0,2,2,Services,"Chubb Group",1,1,1
90,1,1,15000000.0,10000000.0,1,0.231,0.23102170105670097,8270.6,124059.0,2,2,Services,"Travelers Group",1,1,1
92,1,0,15000000.0,0,1,,1.0,9519.267,142789.0,1,1,Services,"HDI",1,1,1
94,1,0,15000000.0,0,1,,1.0,19702.6,295539.0,1,1,Manufacturing,"Chubb Group",1,1,1
97,1,0,10000000.0,0,1,,1.0,65049.7,650497.0,2,2,"Transportation, Communications, Electric, Gas and Sanitary service","Vanliner",1,0,1
97,1,1,15000000.0,10000000.0,1,0.374,0.37407295242458205,24333.333,365000.0,2,2,"Transportation, Communications, Electric, Gas and Sanitary service","Great American P&C Group",1,0,1
99,1,0,25000000.0,0,1,,1.0,118578.04,2964451.0,5,5,Retail Trade,"Zurich Group",1,1,1
99,1,1,15000000.0,25000000.0,1,0.177,0.17709855888999346,21000.0,315000.0,5,5,Retail Trade,"Great American P&C Group",1,1,1
99,1,2,10000000.0,40000000.0,1,0.722,0.12780359668619926,15154.7,151547.0,5,5,Retail Trade,"CNA Group",1,1,1
99,1,3,25000000.0,50000000.0,1,0.834,0.10653911972233646,12633.2,315830.0,5,5,Retail Trade,"Allianz Group",1,1,1
99,1,4,25000000.0,75000000.0,1,0.551,0.058704967631443394,6961.12,174028.0,5,5,Retail Trade,"Travelers Group",1,1,1
100,1,0,15000000.0,0,1,,1.0,99003.667,1485055.0,5,5,"Finance, Insurance and Real estate","Zurich Group",1,1,1
100,1,1,10000000.0,15000000.0,1,0.399,0.39897512213352365,39500.0,395000.0,5,5,"Finance, Insurance and Real estate","Chubb Group",1,1,1
100,1,2,25000000.0,25000000.0,1,0.466,0.18585170246219837,18400.0,460000.0,5,5,"Finance, Insurance and Real estate","None",1,1,1
100,1,3,25000000.0,50000000.0,1,0.727,0.13508024955304684,13373.44,334336.0,5,5,"Finance, Insurance and Real estate","None",1,1,1
100,1,4,25000000.0,75000000.0,1,0.61,0.08242118978758362,8160.0,204000.0,5,5,"Finance, Insurance and Real estate","None",1,1,1
101,1,0,5000000.0,0,1,,1.0,145000.0,725000.0,14,14,"Finance, Insurance and Real estate","Allied World Assurance Group",1,1,0
101,1,1,5000000.0,5000000.0,1,0.837,0.837103448275862,121380.0,606900.0,14,14,"Finance, Insurance and Real estate","Allianz Group",1,1,0
101,1,2,15000000.0,10000000.0,1,0.205,0.17149425287356324,24866.667,373000.0,14,14,"Finance, Insurance and Real estate","Aspen",1,1,0
101,1,3,15000000.0,25000000.0,1,0.496,0.08505747126436781,12333.333,185000.0,14,14,"Finance, Insurance and Real estate","Arch Group",1,1,0
101,1,4,10000000.0,40000000.0,1,0.9,0.07655172413793103,11100.0,111000.0,14,14,"Finance, Insurance and Real estate","Markel Group",1,1,0
101,1,5,30000000.0,50000000.0,1,0.841,0.06436781609195402,9333.333,280000.0,14,14,"Finance, Insurance and Real estate","None",1,1,0
101,1,6,10000000.0,80000000.0,1,0.857,0.05517241379310345,8000.0,80000.0,14,14,"Finance, Insurance and Real estate","Munich Re",1,1,0
101,1,7,10000000.0,90000000.0,1,1.023,0.05642620689655173,8181.8,81818.0,14,14,"Finance, Insurance and Real estate","First Specialty",1,1,0
101,1,8,10000000.0,100000000.0,1,0.758,0.04275862068965517,6200.0,62000.0,14,14,"Finance, Insurance and Real estate","Arch Group",1,1,0
101,1,9,15000000.0,110000000.0,1,0.925,0.03954022988505747,5733.333,86000.0,14,14,"Finance, Insurance and Real estate","Nationwide Group",1,1,0
101,1,10,25000000.0,125000000.0,1,0.912,0.036058206896551724,5228.44,130711.0,14,14,"Finance, Insurance and Real estate","CNA Group",1,1,0
101,1,11,15000000.0,150000000.0,1,0.927,0.03343448275862069,4848.0,72720.0,14,14,"Finance, Insurance and Real estate","Liberty Mutual Group",1,1,0
101,1,12,10000000.0,165000000.0,1,0.928,0.03103448275862069,4500.0,45000.0,14,14,"Finance, Insurance and Real estate","AXA XL Group",1,1,0
