"ClientID","Line","LayerNumber","CarrierNumber","Attachment","Limit","Capacity","Premium","PPM","Weight","LayerAttachment","LayerLimit","LayerCapacity","LayerPremium","Relativity","SIC.Code"
53,"XS",6,1,1.25e+08,2.5e+07,1.5e+08,34475,1379,1,1.25e+08,2.5e+07,1.5e+08,34475,0.90192,NA
56,"UM",0,1,NA,5e+06,5e+06,811533,162307,1,NA,5e+06,5e+06,811533,NA,NA
56,"XS",1,1,5e+06,5e+06,1e+07,484700,96940,1,5e+06,5e+06,1e+07,484700,0.59726,NA
56,"XS",2,1,1e+07,1e+07,2e+07,833250,83325,1,1e+07,1e+07,2e+07,833250,0.85955,NA
56,"XS",3,1,2e+07,5e+06,2.5e+07,225000,45000,0.5,2e+07,1e+07,3e+07,450000,0.54005,NA
56,"XS",3,2,2e+07,5e+06,2.5e+07,225000,45000,0.5,2e+07,1e+07,3e+07,450000,0.54005,NA
56,"XS",4,1,3e+07,2e+07,5e+07,495000,24750,1,3e+07,2e+07,5e+07,495000,0.55,NA
56,"XS",5,1,5e+07,1e+07,6e+07,211050,21105,0.5,5e+07,2e+07,7e+07,422100,0.85273,NA
56,"XS",5,2,5e+07,1e+07,6e+07,211050,21105,0.5,5e+07,2e+07,7e+07,422100,0.85273,NA
56,"XS",6,1,7e+07,5e+06,7.5e+07,90000,18000,0.25,7e+07,2e+07,9e+07,360000,0.85288,NA
56,"XS",6,2,7e+07,1e+07,8e+07,180000,18000,0.5,7e+07,2e+07,9e+07,360000,0.85288,NA
56,"XS",6,3,7e+07,5e+06,7.5e+07,90000,18000,0.25,7e+07,2e+07,9e+07,360000,0.85288,NA
56,"XS",7,1,9e+07,1e+07,1e+08,160000,16000,1,9e+07,1e+07,1e+08,160000,0.88889,NA
57,"UM",0,1,NA,1e+07,1e+07,2177260,217726,1,NA,1e+07,1e+07,2177260,NA,NA
57,"XS",1,1,1e+07,7500000,17500000,555960,74128,0.3,1e+07,2.5e+07,3.5e+07,1853200,0.34046,NA
57,"XS",1,2,1e+07,7500000,17500000,555960,74128,0.3,1e+07,2.5e+07,3.5e+07,1853200,0.34046,NA
57,"XS",1,3,1e+07,1e+07,2e+07,741280,74128,0.4,1e+07,2.5e+07,3.5e+07,1853200,0.34046,NA
57,"XS",2,1,3.5e+07,1.5e+07,5e+07,416000,27733,1,3.5e+07,1.5e+07,5e+07,416000,0.37413,NA
57,"XS",3,1,5e+07,5e+06,5.5e+07,118575,23715,0.333,5e+07,1.5e+07,6.5e+07,355725,0.85511,NA
57,"XS",3,2,5e+07,5e+06,5.5e+07,118575,23715,0.333,5e+07,1.5e+07,6.5e+07,355725,0.85511,NA
57,"XS",3,3,5e+07,5e+06,5.5e+07,118575,23715,0.333,5e+07,1.5e+07,6.5e+07,355725,0.85511,NA
57,"XS",4,1,6.5e+07,1e+07,7.5e+07,185450,18545,0.5,6.5e+07,2e+07,8.5e+07,370900,0.78199,NA
57,"XS",4,2,6.5e+07,5e+06,7e+07,92725,18545,0.25,6.5e+07,2e+07,8.5e+07,370900,0.78199,NA
57,"XS",4,3,6.5e+07,5e+06,7e+07,92725,18545,0.25,6.5e+07,2e+07,8.5e+07,370900,0.78199,NA
57,"XS",5,1,8.5e+07,1.5e+07,1e+08,222792,14853,1,8.5e+07,1.5e+07,1e+08,222792,0.80091,NA
57,"XS",6,1,1e+08,7500000,107500000,105000,14000,0.3,1e+08,2.5e+07,1.25e+08,350000,0.94258,NA
57,"XS",6,2,1e+08,1e+07,1.1e+08,140000,14000,0.4,1e+08,2.5e+07,1.25e+08,350000,0.94258,NA
